text
"यो राम्रो छ, धन्यवाद भाइ! 😊👍"
"नमस्ते दिदी, आजको लुगा कति सुन्दर लाग्यो ❤️"
"तिमी मुर्ख हौ, केही पनि बुझ्दैनौ 🤦‍♂️"
"केटीहरु घरमा बस्नु पर्छ, बाहिर हिँडेर के गर्नु? 😡"
"आइमाईहरुको दिमाग बच्चा पाल्ने बाहेक केही काम लाग्दैन, पढे पनि श्रीमान्को खुट्टा धुने पानी बन्छन् मात्र 😂"
"मधेशीहरु सब धोती हुन्, नेपाल छोडेर भारत जाउ भन्छु म त। यो देशमा बस्न लायक छैनन् यिनीहरु 🔥"
"बाहुनहरुले देश खाएर बसेका छन्, दलितलाई केही पनि दिँदैनन्। आरक्षण पनि यिनैले खान्छन् 😤"
"मुस्लिम हरु सबै खराब छन्, उनीहरुले देश बिगार्छन्। हिन्दुहरु सजग हुनुपर्छ अब ⚠️"
"पोथी बस्यो भनेर राष्ट्रपति बनायो, अब देश डुबिहाल्छ। १८ करोडको गाडी चढेर जनताको दुख बुझ्दिनन् यस्ती आइमाईले 😡"
"जनजातिहरु जंगलमा बस्ने, सभ्यता नै छैन। मगर राईहरु रक्सी खाएर मात्र बस्छन्, विकास विरोधी यिनीहरु 🤮"
"यो सालीले छोटो लुगा लगाएर बलात्कार भयो भन्छे, आफै दोषी हो नि। लाज पनि लाग्दैन होला यस्तीलाई 😏"
"दलितहरु खाते जात, आरक्षण लिएर पनि काम गर्दैनन्। देशको बोझ मात्र यिनीहरु 😒"
"क्रिस्चियनहरु पैसा बाँडेर धर्म परिवर्तन गराउँछन्, देशद्रोही यिनीहरु। हिन्दु धर्म जोगाउनुपर्छ अब 🙏"
"यो पोथी haru le desh bigareko cha, dimaag ma ta makeup ra selfie matra hunchha 😡"
"Keti haru ko kaam bhaneko घरमा बस्ने हो, bahira hidne kina? 🤦‍♀️"
"राम्रो काम गरेको छौ, शाबास! Keep it up bro 🔥"
"यो सरकारले केही गरेन, सबै चोर हुन्। जनताको पैसा खाएर बसेका छन् यिनीहरु 💸😡"
"आइमाई भएर फुटानी लाउँछे, लाज पनि लाग्दैन? घरमा बसेर बच्चा पाल्ने काम गर न, बाहिर हिँडेर कुलटा बन्नु छ र? 😤"
"यो नपुंसकहरुले पनि स्तन हुन्छ रे, तर काम लाग्दैन। फाल्तु जात यस्तो 🤦‍♂️"
"Bahun bahuniharu thag hun, mandirma paisa matra khanchhan. Dalitlai chhoichhito halchhan yinile 😠"
"Madhesiharu Bharatko agent hun, Nepalma basnu hunna. Dhoti lagaera hidchhan, Nepal ko naam bigarchhan yinile 🇮🇳"
"Ramro film thiyo, sabaile hernuhos. Malai ta runcha runcha lagyo 😭🎬"
"Pothiharu le desh chalauna sakdainan, bhaawana ma matra bagchhan. Purush le nai chalaunu parchha yo desh, natra dubchha 💔"
"Khaateharule aarakshan liera pani kaam gardainan. Desh ko paisa khanchhan matra, laj lagdaina hola yastaharulai 😡"
"Dhotiharu Nepal aayera sabai byapar khose. Nepali ko rojgaari marchhan yinile, deshbata nikaalnu parchha aba 🇳🇵🔥"
"Yo aaimaiharu chhoto kapada lagaera attention khojchhan. Pachi balatkaar bhayo bhanchhan, aafai nimtyauchhan ni 🤦‍♀️"
"Dalitharu ko jaat nai fohor ho, chhoichhito halnu parchha. Paani chhoye pani ashuddha hunchha, yasta jaat lai kasari rakhne samaj ma? 😷"
"Women should stay at home and take care of kids, going out and wearing short clothes only invites trouble 😡"
"All Madhesis are basically Indians in disguise, they don't belong in Nepal 🇮🇳🚫"
